,CONTROL,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,NPT4_PUB,NPT4_PRIV,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_API,UGDS_API,OPEID,INSTNM,CITY,STABBR,INSTURL,HIGHDEG,LATITUDE,LONGITUDE
10,2,0.6422,520.0,630.0,520.0,640.0,,,,22994.0,0.0,0.0166,0.0,0.0,0.0133,0.0,0.0033,0.0,0.0731,0.0033,0.0,0.0133,0.0,0.0,0.0698,0.0,0.0,0.113,0.0365,0.0,0.0432,0.0,0.0365,0.0,0.0399,0.0,0.0598,0.0,0.0,0.0598,0.0,0.0,0.0,0.0,0.1462,0.0,0.2226,0.0498,1181.0,0.8103,0.094,0.0305,0.039,0.0102,0.0,0.0076,0.0,0.0085,,,,101200,Birmingham Southern College,Birmingham,AL,www.bsc.edu/,3,33.5155,-86.8536
11,1,,,,,,,,1873.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1077,0.0,0.0,0.0,0.0,0.0,0.0,0.0103,0.3744,0.1026,0.0,1769.0,0.4675,0.4409,0.0379,0.0136,0.0034,0.0028,0.0107,0.0,0.0232,,,,1218200,Chattahoochee Valley Community College,Phenix City,AL,www.cv.edu,2,32.4239,-85.0315
12,2,,,,,,,,,12686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3457,0.0,0.0,0.0,0.0,0.0,0.0,0.4815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1728,0.0,523.0,0.0115,0.9388,0.0134,0.0038,0.0,0.0,0.0,0.0325,0.0,,,,1055400,Concordia College Alabama,Selma,AL,www.ccal.edu/,3,32.4223,-87.0242
13,3,0.4366,,,,,,,,23152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0735,0.0,0.0,0.0,0.0,0.0,0.0,0.0662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0441,0.0221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6397,0.1544,0.0,599.0,0.2988,0.6628,0.0117,0.0033,0.0083,0.0033,0.0,0.0,0.0117,,,,1303906,South University-Montgomery,Montgomery,AL,southuniversity.edu,4,32.3427,-86.2165
14,1,,,,,,,,5048.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0085,0.0021,0.0,0.1855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7249,0.0,0.0,0.0,0.0171,0.0533,0.0,1984.0,0.6411,0.2661,0.0444,0.0166,0.0055,0.0015,0.0176,0.0015,0.0055,,,,101500,Enterprise State Community College,Enterprise,AL,www.escc.edu,2,31.2975,-85.837
15,1,,,,,,,,7404.0,,0.0085,0.0,0.0,0.0,0.0,0.0,0.0449,0.0,0.0,0.0,0.0043,0.0,0.0,0.0128,0.0,0.4637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.015,0.0,0.015,0.3162,0.1047,0.0,4182.0,0.7104,0.2176,0.0263,0.0072,0.0187,0.0012,0.0163,0.0007,0.0017,,,,106000,James H Faulkner State Community College,Bay Minette,AL,www.faulknerstate.edu,2,30.852,-87.7798
16,2,,,,,,,,,17660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0315,0.0,0.0,0.0,0.0,0.014,0.0053,0.0158,0.0,0.0018,0.0035,0.0,0.0,0.0245,0.0,0.0105,0.0,0.0,0.0123,0.1751,0.0,0.0035,0.0,0.0,0.0,0.0,0.0053,0.0105,0.6655,0.007,2358.0,0.3919,0.5254,0.0178,0.0047,0.0064,0.0034,0.0119,0.0191,0.0195,,,,100300,Faulkner University,Montgomery,AL,www.faulkner.edu,4,32.3842,-86.2164
17,1,,,,,,,,4565.0,,0.0069,0.0,0.0,0.0,0.0057,0.0,0.0069,0.0631,0.0,0.0,0.1239,0.0,0.0183,0.0298,0.0,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218,0.1009,0.0722,0.0,0.0,0.2878,0.0677,0.0,5480.0,0.6792,0.21,0.0261,0.0055,0.0075,0.0015,0.019,0.0135,0.0378,,,,101700,Gadsden State Community College,Gadsden,AL,www.gadsdenstate.edu,2,33.9919,-85.9913
18,3,,,,,,,,,9476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.9326,0.0337,0.0337,0.0,0.0,0.0,0.0,0.0,0.0,,,,4187200,New Beginning College of Cosmetology,Albertville,AL,www.nbccosmetology.com,1,34.2593,-86.2
19,1,,,,,,,,2681.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0477,0.0,0.0,0.0862,0.0,0.0467,0.0,0.0,0.2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203,0.0,0.0101,0.0,0.0,0.0568,0.0294,0.0477,0.0,0.0,0.4118,0.0284,0.0,4293.0,0.6306,0.3196,0.024,0.0058,0.0051,0.0019,0.0128,0.0,0.0002,,,,101800,George C Wallace State Community College-Dothan,Dothan,AL,www.wallace.edu,2,31.3161,-85.4636
